,importance
music_Influencial_mood_Social gatherings or parties,0.007717813236110989
"music_Influencial_mood_Relaxation and stress relief, Sadness or melancholy",0.0075765244277787745
"music_expl_method_recommendations, Playlists, Others",0.0074431751090987125
"music_Influencial_mood_Sadness or melancholy, Social gatherings or parties",0.007423843365466651
music_Influencial_mood_Uplifting and motivational,0.006872631164187866
pod_lis_frequency_Never,0.006861551982624298
"music_Influencial_mood_Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",0.00666183727497996
"music_expl_method_recommendations, Radio",0.006600560341338813
"music_lis_frequency_Office hours, While Traveling",0.006489899332846403
"spotify_listening_device_Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",0.006466852029692628
preffered_pod_format_Interview,0.0062070603201791735
"music_lis_frequency_While Traveling, Workout session, leisure time",0.0061638977218379815
fav_pod_genre_Food and cooking,0.006131134139160205
"music_lis_frequency_Workout session, leisure time",0.005805987012668591
fav_pod_genre_No preference / Not applicable,0.005787179485350728
pod_host_preference_No preference / Not applicable,0.004255240508237469
"music_Influencial_mood_Relaxation and stress relief, Social gatherings or parties",0.004106237966337598
"music_expl_method_Playlists, Radio",0.003997425673292698
"spotify_listening_device_Computer or laptop, Wearable devices",0.003877666065695645
"music_lis_frequency_Study Hours, While Traveling, Workout session",0.0038370217031080157
"music_expl_method_recommendations, Others",0.003699747301317846
"music_lis_frequency_Office hours, Workout session, leisure time",0.003693686515457815
"music_Influencial_mood_Relaxation and stress relief, Uplifting and motivational",0.003630774014050518
preffered_pod_duration_No preference / Not applicable,0.0035824983708449823
"music_lis_frequency_Office hours, While Traveling, leisure time",0.0033822119726569354
"music_Influencial_mood_Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy",0.0030060478185284633
"fav_music_genre_Classical & melody, dance",0.002976262211536807
"music_Influencial_mood_Uplifting and motivational, Sadness or melancholy",0.002926019159814117
"music_lis_frequency_Office hours, Study Hours, Workout session",0.0028076886966163436
"music_lis_frequency_Study Hours, Workout session, leisure time",0.002428393617889908
"music_Influencial_mood_Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",0.0023683284496813103
"music_expl_method_Playlists, Radio, Others",0.002254414310603405
fav_music_genre_Electronic/Dance,0.0022148676606895904
"music_lis_frequency_While Traveling, Workout session",0.0019767531438915757
"spotify_listening_device_Smartphone, Smart speakers or voice assistants",0.00177982704263257
"music_Influencial_mood_Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties",0.0016227638637534847
"music_lis_frequency_Study Hours, Workout session",0.0015622459525422
"music_Influencial_mood_Uplifting and motivational, Social gatherings or parties",0.0015016685197233206
"music_lis_frequency_While Traveling, Before bed",0.0014832218264214294
"music_expl_method_Radio, Others",0.0014816462614262733
"spotify_listening_device_Smart speakers or voice assistants, Wearable devices",0.0013833868004124522
spotify_listening_device_Wearable devices,0.0008857449181402167
"music_lis_frequency_Office hours, Workout session",0.000863686914478004
"music_lis_frequency_Office hours, Study Hours, While Traveling",0.0007778262677280048
"music_lis_frequency_Office hours, While Traveling, Workout session",0.0007181680967931888
"music_lis_frequency_Office hours, Study Hours, While Traveling, Workout session, leisure time",0.0006497802420626646
"spotify_listening_device_Computer or laptop, Smart speakers or voice assistants, Wearable devices",0.0006025644328177747
"music_expl_method_recommendations, Playlists, Radio, Others",0.0005802329495664457
"music_lis_frequency_Study Hours, leisure time",0.0005473183035793301
"spotify_listening_device_Smartphone, Smart speakers or voice assistants, Wearable devices",0.000506857066201417
"music_lis_frequency_Office hours, While Traveling, Workout session, leisure time",0.0005017270385289952
"music_lis_frequency_Study Hours, While Traveling",0.0004922322100243881
fav_pod_genre_Stories,0.000480514877230988
"music_lis_frequency_Study Hours, While Traveling, leisure time",0.00042334182979810977
"music_expl_method_Playlists, Others",0.0004131850383147092
"music_lis_frequency_Office hours, leisure time",0.00040788366404513496
"music_lis_frequency_Study Hours, While Traveling, Workout session, leisure time",0.00040723951749482715
"spotify_listening_device_Smartphone, Wearable devices",0.0003868162757677272
music_lis_frequency_Social gatherings,0.00038125658364449017
fav_music_genre_Kpop,0.0003075229002155183
"music_expl_method_recommendations, Radio, Others",0.00021299635627251148
"music_lis_frequency_Office hours, While Traveling,",0.00018437133450902062
"music_lis_frequency_Office hours, Study Hours, While Traveling, leisure time",0.00016438913726671804
fav_pod_genre_Novels,0.00015873596817445246
"music_expl_method_Others, Social media",0.00013214919023240003
fav_pod_genre_Educational,0.00012890903839390762
"music_expl_method_Others, Friends",0.00010593515088783868
fav_pod_genre_Murder Mystery,0.00010529654390162059
music_lis_frequency_Random,9.81033512323058e-05
"spotify_listening_device_Smartphone, Computer or laptop, Wearable devices",9.798450759221703e-05
fav_music_genre_trending songs random,9.725384434283062e-05
"music_expl_method_recommendations,Others, Social media",6.82314279321508e-05
fav_pod_genre_Everything,5.659445606492506e-05
fav_pod_genre_Self help,4.986301724133139e-05
fav_pod_genre_General knowledge,4.792193103672195e-05
fav_music_genre_Old songs,4.1880460887923385e-05
"music_expl_method_recommendations, Others, Social media",3.6567760520619046e-05
"music_expl_method_Others, Search",3.4796948608273296e-05
fav_pod_genre_Finance related and current affairs,2.1681741538806933e-05
"music_lis_frequency_Office hours, Study Hours, While Traveling, Workout session",2.1408839430847446e-05
"music_lis_frequency_Office hours,Study Hours, While Traveling, leisure time",0.0
"music_Influencial_mood_Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",0.0
fav_pod_genre_Technology,0.0
"music_lis_frequency_While Traveling, Workout session, leisure time, Night time, when cooking",0.0
fav_pod_genre_Spiritual and devotional,0.0
fav_pod_genre_Dance and Relevant cases,0.0
fav_pod_genre_Informative stuff,0.0
"fav_pod_genre_Political, informative, topics that interests me",0.0
premium_sub_willingness,0.0
