,importance
fav_music_genre_classical,0.0
fav_music_genre_Rock,0.0
fav_music_genre_Rap,0.0
fav_music_genre_Pop,0.0
fav_music_genre_Old songs,0.0
fav_music_genre_Melody,0.0
fav_music_genre_Kpop,0.0
fav_music_genre_Electronic/Dance,0.0
"fav_music_genre_Classical & melody, dance",0.0
preferred_listening_content_Podcast,0.0
"music_lis_frequency_Office hours, Study Hours, While Traveling, Workout session, leisure time",0.0
"music_lis_frequency_Office hours, Study Hours, While Traveling, leisure time",0.0
"music_expl_method_Others, Search",0.0
"music_lis_frequency_Office hours, Study Hours, Workout session",0.0
"music_expl_method_Others, Friends",0.0
music_lis_frequency_leisure time,0.0
"music_lis_frequency_Workout session, leisure time",0.0
music_lis_frequency_Workout session,0.0
"music_lis_frequency_While Traveling, leisure time",0.0
"music_lis_frequency_While Traveling, Workout session, leisure time, Night time, when cooking",0.0
"music_lis_frequency_While Traveling, Workout session, leisure time",0.0
"music_lis_frequency_While Traveling, Workout session",0.0
"music_lis_frequency_While Traveling, Before bed",0.0
music_lis_frequency_While Traveling,0.0
"music_lis_frequency_Study Hours, leisure time",0.0
"music_lis_frequency_Study Hours, Workout session, leisure time",0.0
"music_lis_frequency_Study Hours, Workout session",0.0
"music_lis_frequency_Study Hours, While Traveling, leisure time",0.0
"music_lis_frequency_Study Hours, While Traveling, Workout session, leisure time",0.0
"music_lis_frequency_Study Hours, While Traveling, Workout session",0.0
"music_lis_frequency_Study Hours, While Traveling",0.0
music_lis_frequency_Study Hours,0.0
music_lis_frequency_Social gatherings,0.0
music_lis_frequency_Random,0.0
"music_lis_frequency_Office hours,Study Hours, While Traveling, leisure time",0.0
"music_lis_frequency_Office hours, leisure time",0.0
"music_lis_frequency_Office hours, Workout session, leisure time",0.0
"music_lis_frequency_Office hours, Workout session",0.0
"music_lis_frequency_Office hours, While Traveling, leisure time",0.0
"music_lis_frequency_Office hours, While Traveling, Workout session, leisure time",0.0
"music_lis_frequency_Office hours, While Traveling, Workout session",0.0
"music_lis_frequency_Office hours, While Traveling,",0.0
"music_lis_frequency_Office hours, While Traveling",0.0
spotify_listening_device_Wearable devices,0.0
